1707396469.251288,4,10,4.818
1707396469.251387,7,131,4.151
1707396469.251413,19,314,4.092
1707396469.251437,17,284,4.145
1707396469.251462,23,200,4.151
1707396469.251487,13,152,4.243
1707396469.251511,15,116,4.181
1707396469.251536,11,250,4.152
1707396469.251560,5,95,4.112
1707396469.251585,21,361,4.148
1707396469.251610,9,250,4.076
1707396469.384906,4,10,4.818
1707396469.384991,7,131,4.388
1707396469.385016,19,314,4.081
1707396469.385039,17,284,4.047
1707396469.385062,23,200,4.055
1707396469.385086,13,152,4.037
1707396469.385109,15,116,4.049
1707396469.385132,11,250,4.032
1707396469.385156,5,110,4.077
1707396469.385179,21,361,4.074
1707396469.385202,9,250,4.047
1707396469.518067,4,10,4.818
1707396469.518150,7,131,4.221
1707396469.518176,19,314,4.054
1707396469.518201,17,284,4.098
1707396469.518226,23,200,4.072
1707396469.518250,13,152,4.075
1707396469.518275,15,116,4.118
1707396469.518300,11,250,4.055
1707396469.518325,5,110,4.072
1707396469.518350,21,361,4.052
1707396469.518375,9,250,4.035
1707396469.651113,4,10,4.818
1707396469.651207,7,131,4.103
1707396469.651236,19,314,4.081
1707396469.651263,17,284,4.051
1707396469.651291,23,200,4.073
1707396469.651319,13,152,4.093
1707396469.651352,15,116,4.054
1707396469.651380,11,250,4.071
1707396469.651409,5,110,4.078
1707396469.651449,21,361,4.106
1707396469.651478,9,250,4.115
1707396469.784194,4,10,4.818
1707396469.784283,7,131,4.066
1707396469.784311,19,314,4.045
1707396469.784342,17,284,4.027
1707396469.784368,23,200,4.088
1707396469.784395,13,152,4.098
1707396469.784421,15,116,4.045
1707396469.784447,11,250,4.077
1707396469.784472,5,110,4.04
1707396469.784498,21,361,4.089
1707396469.784524,9,250,4.083
1707396469.918051,4,10,4.818
1707396469.918134,7,131,4.084
1707396469.918160,19,314,4.112
1707396469.918184,17,284,4.109
1707396469.918209,23,200,4.087
1707396469.918233,13,152,4.094
1707396469.918257,15,116,4.079
1707396469.918283,11,250,4.033
1707396469.918308,5,110,4.015
1707396469.918332,21,361,4.075
1707396469.918356,9,250,4.108
1707396470.051547,4,10,4.818
1707396470.051634,7,131,4.098
1707396470.051661,19,314,4.063
1707396470.051687,17,284,4.049
1707396470.051713,23,200,4.097
1707396470.051739,13,152,4.101
1707396470.051765,15,116,4.106
1707396470.051790,11,250,4.04
1707396470.051823,5,110,4.078
1707396470.051848,21,361,4.109
1707396470.051874,9,250,4.083
1707396470.185011,4,10,4.818
1707396470.185100,7,131,4.077
1707396470.185129,19,314,4.102
1707396470.185157,17,284,4.07
1707396470.185183,23,200,4.094
1707396470.185209,13,152,4.094
1707396470.185236,15,116,4.055
1707396470.185262,11,250,4.061
1707396470.185288,5,110,4.106
1707396470.185315,21,361,4.072
1707396470.185341,9,250,4.142
1707396470.318211,4,10,4.818
1707396470.318294,7,131,4.074
1707396470.318319,19,314,4.116
1707396470.318344,17,284,4.077
1707396470.318368,23,200,4.09
1707396470.318392,13,152,4.292
1707396470.318417,15,116,4.114
1707396470.318440,11,250,4.038
